Date,Value
2005-01-28,100000.0
2005-01-31,100000.0
2005-02-01,100000.0
2005-02-02,99814.49352118588
2005-02-03,98854.93642756558
2005-02-04,99595.80412528134
2005-02-07,99423.84221789456
2005-02-08,99492.78098914243
2005-02-09,98791.43660685635
2005-02-10,99049.84247443295
2005-02-11,99969.88493868924
2005-02-14,100571.50399729825
2005-02-15,100851.14480921841
2005-02-16,100573.23970839597
2005-02-17,99981.09024951077
2005-02-18,99793.25480315305
2005-02-22,99720.96400878049
2005-02-23,99718.9703392706
2005-02-24,100273.31129119016
2005-02-25,100656.14605090237
2005-02-28,100049.08192202664
2005-03-01,100306.52299830533
2005-03-02,100305.28676835538
2005-03-03,99702.41911260129
2005-03-04,100337.90806333066
2005-03-07,101097.12107030393
2005-03-08,100885.51038114072
2005-03-09,100608.85822526456
2005-03-10,100679.85868970395
2005-03-11,100315.11386338712
2005-03-14,100288.37982598782
2005-03-15,99864.23899308682
2005-03-16,99546.6755918646
2005-03-17,99400.4376777792
2005-03-18,99138.92617169858
2005-03-21,98628.26095143796
2005-03-22,97611.41005078793
2005-03-23,97672.38678304196
2005-03-24,97702.1795610571
2005-03-28,97807.23775426389
2005-03-29,97520.7674440527
2005-03-30,98493.02693978787
2005-03-31,98539.85915032864
2005-04-01,97849.67978040219
2005-04-04,98040.51636252498
2005-04-05,98215.886170722
2005-04-06,98329.71422324276
2005-04-07,98777.36643347835
2005-04-08,98461.94263968563
2005-04-11,98389.16541037655
2005-04-12,98729.12637839412
2005-04-13,98025.27794776058
2005-04-14,97034.95031104183
2005-04-15,96150.55029044246
2005-04-18,96298.38092169857
2005-04-19,97135.89549384212
2005-04-20,96855.57545218563
2005-04-21,97715.9104474554
2005-04-22,97293.85811743831
2005-04-25,97650.71406302547
2005-04-26,97394.27860007381
2005-04-27,97195.2910398016
2005-04-28,96736.82217154598
2005-04-29,97220.4421132574
2005-05-02,97052.52520880794
2005-05-03,97210.89033861256
2005-05-04,97889.70339555836
2005-05-05,98031.18895502186
2005-05-06,97759.77353067494
2005-05-09,98010.85025949574
2005-05-10,97727.70876665211
2005-05-11,98072.48636026478
2005-05-12,97588.11989374257
2005-05-13,98006.97393388844
2005-05-16,98298.91836519337
2005-05-17,98632.25569696522
2005-05-18,99520.83081598378
2005-05-19,99841.76518793202
2005-05-20,99826.49056406117
2005-05-23,100148.17330141163
2005-05-24,100410.90791292286
2005-05-25,100227.96646661854
2005-05-26,100628.18179674244
2005-05-27,100861.61050386525
2005-05-31,100598.11640138722
2005-06-01,100997.9559304247
2005-06-02,101727.87816420652
2005-06-03,100957.2880572424
2005-06-06,101239.13138667203
2005-06-07,100797.65666190244
2005-06-08,100598.34391299344
2005-06-09,100872.94806853391
2005-06-10,100495.01813307859
2005-06-13,100778.99507704831
2005-06-14,100408.12508956052
2005-06-15,100673.76648703672
2005-06-16,101465.87712756253
2005-06-17,101597.75171843625
2005-06-20,101575.04750434018
2005-06-21,101668.45914546109
2005-06-22,101751.09291258908
2005-06-23,101395.1709069357
2005-06-24,100770.13367167569
2005-06-27,100570.387907897
2005-06-28,100620.76148501493
2005-06-29,100652.77922621823
2005-06-30,100190.22363082028
2005-07-01,99374.35594836331
2005-07-05,99488.84917938709
2005-07-06,99254.91806328297
2005-07-07,99562.20060360432
2005-07-08,100393.87841427326
2005-07-11,101002.16505348682
2005-07-12,101288.1697331667
2005-07-13,101193.50760662556
2005-07-14,101377.94788658619
2005-07-15,101631.17577755451
2005-07-18,101358.45808804035
2005-07-19,101946.4894438982
2005-07-20,102533.54707062244
2005-07-21,102581.08070290089
2005-07-22,102597.83745968342
2005-07-25,102404.13045990467
2005-07-26,102441.69669258595
2005-07-27,102951.4817467928
2005-07-28,103486.03748619556
2005-07-29,103011.05194962025
2005-08-01,103202.1096688509
2005-08-02,103715.5044836626
2005-08-03,104090.25614687061
2005-08-04,103615.62889906025
2005-08-05,103226.80058523273
2005-08-08,102621.25183721638
2005-08-09,102999.95970865345
2005-08-10,102723.26449152088
2005-08-11,103851.31096311664
2005-08-12,103663.40471216297
2005-08-15,103689.3489317522
2005-08-16,103231.29701753712
2005-08-17,103027.18370958423
2005-08-18,102834.30569311237
2005-08-19,102653.5845064745
2005-08-22,102731.91584154224
2005-08-23,102671.29223295307
2005-08-24,102277.00058981037
2005-08-25,102483.70680566883
2005-08-26,102210.94734617329
2005-08-29,102583.76227136707
2005-08-30,102098.98916956043
2005-08-31,102962.18924470997
2005-09-01,103418.01182409382
2005-09-02,103243.44743493844
2005-09-06,103949.08048394967
2005-09-07,104002.91969445992
2005-09-08,104223.16784433175
2005-09-09,104684.1972060566
2005-09-12,104771.71029046823
2005-09-13,104468.65504602242
