Date,Open,High,Low,Close,Volume,WMA_10,WMA_30
2000-01-02,146.84375,147.5,146.25,146.875,3172700,,
2000-01-09,148.25,148.25,137.25,145.75,42725700,,
2000-01-16,146.25,147.46875,142.875,146.96875,32748700,,
2000-01-23,145.34375,147.0,143.8125,144.4375,24691300,,
2000-01-30,145.65625,145.84375,135.53125,135.875,45836400,,
2000-02-06,135.8125,144.0,135.0,142.59375,38317400,,
2000-02-13,142.5625,144.5625,138.03125,138.6875,35834100,,
2000-02-20,139.78125,141.21875,134.625,135.3125,45445900,,
2000-02-27,135.1875,137.46875,133.09375,133.328125,56469300,,
2000-03-05,133.375,141.71875,132.71875,141.125,48878800,141.0953125,
2000-03-12,140.8125,142.0,135.03125,140.125,57263100,140.4203125,
2000-03-19,136.6875,148.0,135.6875,146.9375,64979500,140.5390625,
2000-03-26,146.875,155.75,144.5,153.5625,57492300,141.1984375,
2000-04-02,153.375,153.78125,147.125,150.375,40621500,141.7921875,
2000-04-09,150.125,153.0,141.390625,151.4375,48883000,143.3484375,
2000-04-16,151.75,153.109375,133.5,136.0,71239600,142.6890625,
2000-04-23,135.1875,145.125,134.6875,143.8125,50078700,143.2015625,
2000-04-30,141.5,148.75,140.5,145.09375,59044900,144.1796875,
2000-05-07,146.5625,148.484375,139.78125,143.53125,43196900,145.2,
2000-05-14,142.75,143.46875,137.75,142.8125,34030200,145.36875,
2000-05-21,142.75,147.71875,140.40625,141.125,29384700,145.46875,
2000-05-28,141.25,141.8125,136.5,138.0,42993000,144.575,
2000-06-04,140.0,149.09375,139.46875,147.84375,29343000,144.003125,
2000-06-11,147.46875,148.21875,145.625,146.59375,25584900,143.625,
2000-06-18,146.96875,148.875,144.625,146.59375,28107200,143.140625,
2000-06-25,146.46875,149.15625,143.875,144.375,27055700,143.978125,
2000-07-02,145.375,146.984375,143.515625,145.28125,28474400,144.125,
2000-07-09,145.4375,148.78125,144.21875,148.09375,13182800,144.425,
2000-07-16,147.875,151.25,147.15625,151.25,24828600,145.196875,
2000-07-23,150.984375,151.984375,147.6875,147.6875,27173000,145.684375,144.04947916666666
2000-07-30,148.125,148.859375,141.515625,142.09375,36330200,145.78125,143.89010416666667
2000-08-06,142.9375,146.71875,142.0625,146.375,24945600,146.61875,143.9109375
2000-08-13,146.71875,149.21875,145.5625,147.40625,22485100,146.575,143.92552083333334
2000-08-20,147.78125,150.4375,147.0625,149.6875,24001500,146.884375,144.10052083333332
2000-08-27,150.03125,151.625,149.28125,151.25,18290300,147.35,144.61302083333334
2000-09-03,151.25,153.59375,150.34375,152.5,21099700,148.1625,144.94322916666667
2000-09-10,151.875,152.203125,149.328125,149.8125,15576700,148.615625,145.3140625
