year,final_asset_ratio,profit_ratio,CAGR,MDD,Sharpe,Sortino,Std_Dev
2009,1.0000,0.0000,0.00,0.00,0.00,0.00,0.00
2010,1.0000,0.0000,0.00,0.00,-92778218580649600.00,-92778218580649600.00,0.00
2011,1.0486,0.0486,4.86,-10.04,0.33,0.43,0.15
2012,1.0999,0.0999,10.07,-8.81,0.83,1.27,0.11
2013,1.0092,0.0092,0.92,-10.26,0.05,0.06,0.12
2014,1.0473,0.0473,4.73,-5.43,0.55,0.79,0.07
2015,0.9442,-0.0558,-5.58,-10.97,-0.63,-0.93,0.10
2016,1.0875,0.0875,8.75,-7.36,0.91,1.37,0.09
2017,1.1608,0.1608,16.15,-3.47,2.68,4.49,0.05
2018,0.9599,-0.0401,-4.02,-12.36,-0.48,-0.68,0.10
2019,1.2311,0.2311,23.11,-3.00,2.78,4.79,0.07
2020,1.2013,0.2013,20.05,-19.89,0.98,1.08,0.20
2021,1.1146,0.1146,11.46,-5.93,1.03,1.46,0.10
2022,0.9019,-0.0981,-9.84,-17.30,-0.73,-1.17,0.14
2023,1.1835,0.1835,18.51,-7.55,1.76,2.83,0.09
2024,1.2434,0.2434,24.34,-5.68,1.99,2.68,0.11
2025,1.0456,0.0456,29.09,-3.66,2.40,3.48,0.10
