date,spy_close,MA_21,MA_50,MA_150,MA_200,asset,action,shares,target_allocation
2011-01-03,127.05000305175781,124.74952407110305,121.94539993286133,114.4090668741862,114.88615016937256,IAU,BUY,1780,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2011-01-03,127.05000305175781,124.74952407110305,121.94539993286133,114.4090668741862,114.88615016937256,VOO,BUY,429,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2012-01-03,127.5,124.63476199195499,124.08100067138672,123.67833343505859,126.05134986877441,IAU,SELL,-41,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2012-01-03,127.5,124.63476199195499,124.08100067138672,123.67833343505859,126.05134986877441,VOO,BUY,11,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2013-01-02,146.05999755859375,142.77333286830358,141.45680023193358,139.84853332519532,139.28210006713869,IAU,BUY,41,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2013-01-02,146.05999755859375,142.77333286830358,141.45680023193358,139.84853332519532,139.28210006713869,VOO,BUY,4,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2014-01-02,182.9199981689453,181.12809535435267,179.25059997558594,170.95746643066406,168.17779983520506,VOO,SELL,-100,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2014-01-02,182.9199981689453,181.12809535435267,179.25059997558594,170.95746643066406,168.17779983520506,IAU,BUY,57,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2015-01-02,205.42999267578125,205.52857171921502,203.91099975585936,198.77119995117187,195.94279991149904,VOO,SELL,-20,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2015-01-02,205.42999267578125,205.52857171921502,203.91099975585936,198.77119995117187,195.94279991149904,IAU,BUY,731,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2016-01-04,201.02000427246094,204.98857044038317,206.86839904785157,204.91433319091797,206.16130004882814,VOO,SELL,-16,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2016-01-04,201.02000427246094,204.98857044038317,206.86839904785157,204.91433319091797,206.16130004882814,IAU,BUY,174,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2017-01-03,225.24000549316406,224.9028567359561,219.7515997314453,216.04959971110026,213.68349983215333,VOO,SELL,-1,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2017-01-03,225.24000549316406,224.9028567359561,219.7515997314453,216.04959971110026,213.68349983215333,IAU,BUY,114,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2018-01-02,268.7699890136719,266.2914297921317,261.780998840332,251.84619995117188,248.15019989013672,VOO,SELL,-7,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2018-01-02,268.7699890136719,266.2914297921317,261.780998840332,251.84619995117188,248.15019989013672,IAU,BUY,22,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2019-01-02,250.17999267578125,257.3390459333147,265.45379943847655,276.67193318684895,274.21594970703126,IAU,SELL,-26,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2019-01-02,250.17999267578125,257.3390459333147,265.45379943847655,276.67193318684895,274.21594970703126,VOO,BUY,4,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2020-01-02,324.8699951171875,318.1204746791295,312.2549987792969,299.9801318359375,296.65994888305664,VOO,SELL,-11,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2020-01-02,324.8699951171875,318.1204746791295,312.2549987792969,299.9801318359375,296.65994888305664,IAU,BUY,50,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2021-01-04,368.7900085449219,369.1180957612537,358.4774011230469,338.6826005045573,323.50150062561033,IAU,SELL,-31,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2021-01-04,368.7900085449219,369.1180957612537,358.4774011230469,338.6826005045573,323.50150062561033,VOO,BUY,9,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2022-01-03,477.7099914550781,468.1295253208705,465.1126007080078,446.5050663248698,437.6410493469238,VOO,SELL,-39,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2022-01-03,477.7099914550781,468.1295253208705,465.1126007080078,446.5050663248698,437.6410493469238,IAU,BUY,37,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2023-01-03,380.82000732421875,389.1142854236421,389.3502001953125,390.6438671875,399.61770065307616,VOO,BUY,33,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2023-01-03,380.82000732421875,389.1142854236421,389.3502001953125,390.6438671875,399.61770065307616,IAU,BUY,107,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2024-01-02,472.6499938964844,467.701907203311,450.2382000732422,443.35166748046873,434.7390007019043,VOO,SELL,-16,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2024-01-02,472.6499938964844,467.701907203311,450.2382000732422,443.35166748046873,434.7390007019043,IAU,BUY,46,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2025-01-02,584.6400146484375,598.8290463402158,592.8382006835938,566.6519995117187,554.0809498596192,VOO,BUY,5,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
2025-01-02,584.6400146484375,598.8290463402158,592.8382006835938,566.6519995117187,554.0809498596192,IAU,BUY,47,"{'VOO': 0.5, 'IAU': 0.5, 'LQD': 0}"
